0 qid:19335 1:0.18620006882195983 2:0.33340948487326244 3:0.18152368600353494 4:0.17828315684234 5:0.3706336432999523 6:0.24642857142857144
0 qid:19335 1:0.18550620807924678 2:0.4429926410466067 3:0.21651477029789645 4:0.21041275106159696 5:0.3983518121125417 6:0.18928571428571428
0 qid:19335 1:0.1929835447822236 2:0.4384955028618152 3:0.19870823176643002 4:0.19151168754686615 5:0.39118383404864093 6:0.13214285714285715
0 qid:19335 1:0.1772165466043132 2:0.4141618969746525 3:0.18574319300482278 4:0.1809463112842403 5:0.3919885550786838 6:0.13214285714285715
0 qid:19335 1:0.17200694988971563 2:0.4367620605069501 3:0.21770304116364164 4:0.20811450278916954 5:0.3992012398664759 6:0.17142857142857143
0 qid:19335 1:0.2111339264056321 2:0.5333605887162715 3:0.2535021031191433 4:0.23984523319625195 5:0.4441314973772056 6:0.21071428571428572
0 qid:19335 1:0.20582278909453994 2:0.4506132461161079 3:0.19219018635969023 4:0.1859457847815154 5:0.3753874582737244 6:0.15357142857142858
0 qid:19335 1:0.16424473540212897 2:0.0 3:0.0 4:0.0 5:0.0 6:0.20357142857142857
0 qid:19335 1:0.1761052411871224 2:0.0 3:0.0 4:0.0 5:0.0 6:0.175
1 qid:19335 1:0.16695812578623448 2:0.0 3:0.0 4:0.0 5:0.0 6:0.14285714285714285
1 qid:19335 1:0.1711522883301649 2:0.0 3:0.0 4:0.0 5:0.0 6:0.1357142857142857
0 qid:19335 1:0.20875900467650857 2:0.4665085854456255 3:0.20606069475087768 4:0.20323137438012326 5:0.3939109442060086 6:0.12142857142857143
0 qid:19335 1:0.2077717762270899 2:0.4958299264104661 3:0.21732622359611967 4:0.21411941749320068 5:0.4334763948497854 6:0.1357142857142857
0 qid:19335 1:0.26830128223208793 2:0.6037121831561734 3:0.29754518120993145 4:0.30484671880849773 5:0.6119158321411541 6:0.16428571428571428
2 qid:19335 1:0.2670263836316559 2:0.6097138184791496 3:0.3075395671853917 4:0.3131408522649557 5:0.609963638531235 6:0.17142857142857143
0 qid:19335 1:0.20534047126119062 2:0.520278004905969 3:0.2454245693036149 4:0.22872521312800526 5:0.43653135431568907 6:0.15714285714285714
0 qid:19335 1:0.2087589764707873 2:0.46650842191332786 3:0.20606068082046852 4:0.20323136053116622 5:0.3939107951835956 6:0.12142857142857143
0 qid:19335 1:0.0 2:0.31679476696647585 3:0.16905387328722923 4:0.15828319243415964 5:0.31796912255603244 6:0.16428571428571428
0 qid:19335 1:0.19854004366245648 2:0.4646770237121831 3:0.23454143715475964 4:0.22213934159994655 5:0.4157725321888412 6:0.16428571428571428
0 qid:19335 1:0.2114047013296177 2:0.45481602616516764 3:0.18746499157582885 4:0.18347790755858556 5:0.38122913686218407 6:0.14285714285714285
0 qid:19335 1:0.1737105754531249 2:0.44807849550286183 3:0.22846914394522327 4:0.21591008764056266 5:0.39093049594659035 6:0.1392857142857143
0 qid:19335 1:0.18724365230243303 2:0.38513491414554374 3:0.19752902263183725 4:0.18720050029080385 5:0.3739717453505007 6:0.18214285714285713
0 qid:19335 1:0.18724362409671177 2:0.3700081766148814 3:0.1889256089056716 4:0.17880111476071905 5:0.372213280877444 6:0.15357142857142858
0 qid:19335 1:0.1779837140165511 2:0.41435813573180696 3:0.18904958258190677 4:0.18460729693099426 5:0.36391273247496425 6:0.29285714285714287
0 qid:19335 1:0.0 2:0.38263286999182333 3:0.2119497821844708 4:0.2146214421864866 5:0.3708273724368145 6:0.16071428571428573
